Respondent ID,Age,Gender,Preferred Feature,Satisfaction,Time Spent (hrs),Feedback Rating,Would Recommend
1,20,Female,Security,2,1,10,Yes
2,26,Female,Speed,2,5,10,Yes
3,23,Male,Security,1,7,5,Yes
4,44,Male,Speed,1,8,7,Yes
5,24,Male,Support,3,5,9,No
6,29,Other,UI,1,4,1,Yes
7,33,Female,Speed,3,7,2,No
8,23,Female,Speed,4,14,4,Yes
9,20,Male,Support,3,8,4,Yes
10,27,Other,Security,5,10,8,No
11,40,Other,Speed,4,15,5,No
12,26,Female,Speed,5,4,1,No
13,45,Male,Support,2,10,1,No
14,41,Other,Speed,2,15,3,Yes
15,32,Male,UI,2,6,9,No
16,20,Female,Security,3,13,5,No
17,42,Other,Security,5,3,8,No
18,38,Female,Speed,3,12,1,Yes
19,39,Female,Support,2,13,4,No
20,40,Male,Speed,3,13,3,No
21,27,Other,Security,5,13,9,Yes
22,29,Female,Speed,2,7,1,No
23,41,Male,UI,3,4,1,Yes
24,30,Female,UI,2,8,1,No
25,32,Other,Support,4,12,10,Yes
26,18,Other,Support,4,3,6,Yes
27,41,Other,Support,1,7,1,Yes
28,19,Other,UI,3,11,2,Yes
29,36,Male,Speed,1,2,8,Yes
30,33,Female,Speed,1,2,4,Yes
